idaho 	16C01S 
idaho 	11G05S 
idaho 	13F13S 
idaho 	14F11S 
idaho 	11G01S 
idaho 	16G01S 
idaho 	16E05S 
idaho 	14F02S 
idaho 	15B09S 
idaho 	13F09S 
idaho 	15F05S 
idaho 	16E14S 
idaho 	14F04S 
idaho 	16D08S 
idaho 	11E36S 
idaho 	12G17S 
idaho 	15G02S 
montana 	11D28S 
montana 	14A19S 
montana 	13A15S 
montana 	15A08S 
montana 	13C44S 
montana 	12D09S 
montana 	14B03S 
montana 	12E08S 
montana 	11E38S 
montana 	13B25S 
montana 	11E35S 
montana 	13C13S 
montana 	14B04S 
montana 	13D10S 
montana 	11C01S 
montana 	10D31S 
montana 	10D35S 
montana 	09D21S 
montana 	13D26S 
montana 	11E29S 
montana 	11D08S 
montana 	09D16S 
montana 	13C33S 
montana 	12B16S 
montana 	12B14S 
montana 	09C01S 
montana 	10C15S 
montana 	13C39S 
montana 	13D19S 
montana 	10C09S 
montana 	12E07S 
montana 	12A02S 
montana 	10D39S 
montana 	10C27S 
montana 	13A24S 
montana 	09D06S 
montana 	13A19S 
montana 	12C13S 
montana 	15A05S 
montana 	14A11S 
montana 	14A14S 
montana 	15A03S 
montana 	15C10S 
montana 	13B22S 
montana 	11E03S 
montana 	13E23S 
montana 	10D13S 
montana 	04B02S 
montana 	11D19S 
montana 	MA07 
montana 	ME08 
montana 	11D11S 
montana 	13C38S 
montana 	11E31S 
montana 	13A27S 
montana 	10D12S 
montana 	13B24S 
montana 	12B12S 
montana 	12D11S 
montana 	13C31S 
montana 	12C22S 
montana 	14D02S 
montana 	13A25S 
montana 	13B07S 
montana 	10D07S 
montana 	10C22S 
montana 	13C36S 
montana 	11C02S 
montana 	13A26S 
montana 	10D24S 
montana 	15A12S 
montana 	10C03S 
montana 	12C11S 
montana 	09A01S 
montana 	10C08S 
montana 	10D10S 
montana 	13D22S 
montana 	11E39S 
montana 	10D16S 
montana 	13C03S 
montana 	14B05S 
montana 	10C06S 
montana 	14A12S 
montana 	10C23S 
montana 	13C01S 
montana 	11D26S 
montana 	11E24S 
montana 	11C04S 
montana 	14C13S 
montana 	14C12S 
montana 	ME11 
montana 	12B13S 
montana 	13C43S 
montana 	11E07S 
montana 	11E30S 
montana 	09D08S 
montana 	12B17S 
new_mexico 	06N04S 
new_mexico 	06N03S 
new_mexico 	05P04S 
new_mexico 	08S01S 
new_mexico 	05N18S 
new_mexico 	06N14S 
new_mexico 	07S04S 
new_mexico 	07S03S 
new_mexico 	08N03S 
new_mexico 	05N16S 
new_mexico 	05N13S 
new_mexico 	06P01S 
new_mexico 	05N11S 
new_mexico 	06P11S 
new_mexico 	08P03S 
new_mexico 	06N15S 
new_mexico 	05P09S 
new_mexico 	06P10S 
new_mexico 	05N23S 
new_mexico 	05R01S 
new_mexico 	08T01S 
new_mexico 	08S08S 
new_mexico 	05N14S 
new_mexico 	05N19S 
new_mexico 	05N04S 
new_mexico 	06N16S 
new_mexico 	05P08S 
nevada 	15H01S 
nevada 	14K02S 
nevada 	15H04S 
nevada 	17K04S 
nevada 	19K08S 
nevada 	14K01S 
nevada 	15N09S 
nevada 	17H02S 
nevada 	14K08S 
nevada 	15J12S 
nevada 	15K03S 
nevada 	18H01S 
nevada 	15J01S 
nevada 	15H24S 
nevada 	16H08S 
nevada 	17H08S 
nevada 	15J09S 
nevada 	15J15S 
nevada 	16H02S 
nevada 	16H04S 
nevada 	14K10S 
nevada 	17H07S 
nevada 	15J06S 
nevada 	16H05S 
nevada 	15N10S 
nevada 	16J01S 
nevada 	19K04S 
nevada 	19K07S 
nevada 	15H14S 
nevada 	15N11S 
nevada 	15H03S 
nevada 	19H05S 
nevada 	15H09S 
nevada 	16H07S 
nevada 	15K04S 
nevada 	14K05S 
nevada 	14L04S 
oregon 	17D02S 
oregon 	22G06S 
oregon 	19D02S 
oregon 	22E10S 
oregon 	18D09S 
oregon 	22G21S 
oregon 	23G15S 
oregon 	22G13S 
oregon 	21D33S 
oregon 	18E16S 
oregon 	18E05S 
oregon 	18D20S 
oregon 	22F03S 
oregon 	21F22S 
oregon 	21D13S 
oregon 	21D12S 
oregon 	22G24S 
oregon 	18D08S 
oregon 	20G12S 
oregon 	22E08S 
oregon 	19E03S 
oregon 	22F18S 
